#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
127 85.944444 170.543078 465 8.543754 19 8548 18 569 1547 78.772071 245.094666 295 680.818516 19 12 218.811307 102.690893 2 19 61 18.382796 12.815805
128 86.166667 166.791037 487 8.664269 18 9030 15 558 1551 77.031570 245.808472 300 682.801311 18 12 213.976583 104.711065 2 19 61 18.542094 12.606742
129 85.833333 167.627646 477 8.543754 22 8610 13 560 1545 77.347704 244.737840 305 679.827333 22 12 214.854735 106.735866 2 19 61 18.050314 12.271970
130 86.500000 167.719756 527 8.664269 24 9567 13 563 1557 77.822174 246.879568 296 685.776579 24 12 216.172706 103.094553 2 19 61 18.153700 12.735564
131 86.500000 165.266536 431 8.664269 22 8306 14 556 1557 76.715579 246.879568 295 649.683075 22 12 201.883102 97.286109 2 19 61 19.271462 11.976314
132 87.055556 161.879747 528 8.785016 23 10740 16 545 1567 74.980213 248.665756 302 621.664389 23 12 187.450532 94.968391 2 18 62 20.340909 12.427413
133 87.611111 161.030066 494 8.785016 23 10546 18 544 1577 74.822671 250.453219 305 596.317189 23 12 178.149217 91.487886 2 18 62 21.348178 13.005302
134 87.000000 160.301106 516 8.785016 23 10388 20 540 1566 74.192873 248.487079 294 621.217698 23 12 185.482182 92.058679 2 18 62 20.131783 11.926214
135 86.388889 159.796447 499 8.664269 25 10265 20 539 1555 74.035516 246.522485 303 616.306212 25 12 185.088789 95.332856 2 18 61 20.571142 12.442753
136 85.888889 159.823128 469 8.543754 22 9494 19 538 1546 73.878196 244.916246 294 612.290616 22 11 184.695489 92.058679 2 18 61 20.243070 12.284847
137 85.388889 160.719265 468 8.543754 20 9369 18 540 1537 74.192873 243.311056 301 608.277639 20 12 185.482182 94.604091 2 18 60 20.019231 12.532422
138 86.277778 159.484519 567 8.664269 26 11683 20 537 1553 73.720913 246.165453 305 615.413632 26 12 184.302282 96.062280 2 18 61 20.604938 12.504920
139 86.888889 157.529852 442 8.664269 24 9359 21 533 1564 73.092154 248.129765 303 590.785155 24 12 174.028939 90.793196 2 18 62 21.174208 11.149091
140 84.666667 152.815793 481 8.423475 23 10348 21 517 1524 70.583170 240.994309 312 573.795975 23 11 168.055167 93.924191 2 17 60 21.513514 12.172544
141 83.888889 152.396008 410 8.303433 22 8411 21 515 1510 70.270237 238.501833 309 596.254582 22 12 175.675593 97.523091 2 17 59 20.514634 12.467755
142 83.666667 152.660844 613 8.303433 25 11872 18 516 1506 70.426684 237.790172 311 625.763612 25 12 185.333380 103.425758 2 17 59 19.367047 12.274220
143 83.500000 151.667125 436 8.303433 23 9142 18 513 1503 69.957460 237.256567 298 593.141416 23 12 174.893649 93.512192 2 17 59 20.967890 12.508855
144 82.555556 152.345084 443 8.183633 22 8404 16 514 1486 70.113829 234.235069 295 650.652970 22 12 194.760636 102.690893 2 17 58 18.970655 11.668930
