#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
196 38.285714 18.926280 144 3.213206 16 4012 20 65 268 6.187058 33.071560 63 61.243630 16 11 11.457515 11.032620 0 1 8 27.861111 19.840899
197 38.142857 18.581316 166 3.213206 23 4741 18 64 267 6.072180 32.928233 64 58.800417 23 12 10.843179 10.843179 0 1 8 28.560241 19.450415
198 36.142857 18.066770 133 3.005683 18 3788 19 61 253 5.729442 30.929655 57 55.231528 18 11 10.231146 9.423348 0 1 7 28.481203 19.538896
199 35.571429 18.038508 177 2.902747 16 4397 18 61 249 5.729442 30.361443 60 63.253006 16 12 11.936337 11.699676 0 1 7 24.841808 18.466273
200 37.428571 19.463204 143 3.109174 21 4002 16 65 262 6.187058 32.212729 60 59.653202 21 12 11.457515 10.399712 0 1 8 27.986014 20.182380
201 40.714286 18.100626 181 3.422834 22 5012 24 67 285 6.417732 35.519312 63 65.776503 22 12 11.884689 11.032620 0 1 8 27.690608 20.010311
202 40.857143 18.294641 154 3.422834 15 4279 25 68 286 6.533519 35.663941 63 66.044335 15 11 12.099110 11.032620 0 1 8 27.785714 20.527765
203 41.714286 18.820310 194 3.528405 23 5642 23 70 292 6.765971 36.533176 71 62.988234 23 12 11.665468 11.866600 0 1 9 29.082474 21.015296
204 38.142857 18.380336 157 3.213206 16 4033 23 65 267 6.187058 32.928233 61 65.856466 16 11 12.374116 11.458884 0 1 8 25.687898 20.664087
205 38.428571 17.735011 185 3.213206 21 4380 21 64 269 6.072180 33.214961 61 72.206438 21 12 13.200392 12.455308 0 1 8 23.675676 19.712877
206 37.857143 18.255555 186 3.109174 16 3938 20 64 265 6.072180 32.641805 59 77.718583 16 12 14.457572 13.101382 0 1 8 21.172043 19.353321
207 37.000000 18.462317 218 3.109174 19 4461 20 63 259 5.957615 31.784340 59 79.460850 19 12 14.894038 13.756451 0 1 7 20.463303 17.924179
208 37.142857 14.085743 181 3.109174 17 3703 21 57 260 5.277075 31.927060 55 79.817649 17 12 13.192688 12.632434 0 1 7 20.458564 18.311748
