#cdf		#length	#accum	#count	#total
0.162669	1	1770	1770	10881
0.229850	2	2501	731	10881
0.305211	3	3321	820	10881
0.363294	4	3953	632	10881
0.406488	5	4423	470	10881
0.443066	6	4821	398	10881
0.475048	7	5169	348	10881
0.506755	8	5514	345	10881
0.531936	9	5788	274	10881
0.555647	10	6046	258	10881
0.576326	11	6271	225	10881
0.598015	12	6507	236	10881
0.616304	13	6706	199	10881
0.635052	14	6910	204	10881
0.649665	15	7069	159	10881
0.663726	16	7222	153	10881
0.677419	17	7371	149	10881
0.689275	18	7500	129	10881
0.700028	19	7617	117	10881
0.711424	20	7741	124	10881
0.723095	21	7868	127	10881
0.733940	22	7986	118	10881
0.745060	23	8107	121	10881
0.754251	24	8207	100	10881
0.763165	25	8304	97	10881
0.771988	26	8400	96	10881
0.779708	27	8484	84	10881
0.787795	28	8572	88	10881
0.794320	29	8643	71	10881
0.801029	30	8716	73	10881
0.807830	31	8790	74	10881
0.814447	32	8862	72	10881
0.821799	33	8942	80	10881
0.827773	34	9007	65	10881
0.833839	35	9073	66	10881
0.839445	36	9134	61	10881
0.843856	37	9182	48	10881
0.848543	38	9233	51	10881
0.854425	39	9297	64	10881
0.858837	40	9345	48	10881
0.864167	41	9403	58	10881
0.868303	42	9448	45	10881
0.872806	43	9497	49	10881
0.878044	44	9554	57	10881
0.882548	45	9603	49	10881
0.886591	46	9647	44	10881
0.890176	47	9686	39	10881
0.894219	48	9730	44	10881
0.897620	49	9767	37	10881
0.900377	50	9797	30	10881
0.902766	51	9823	26	10881
0.905707	52	9855	32	10881
0.908648	53	9887	32	10881
0.911957	54	9923	36	10881
0.914162	55	9947	24	10881
0.916092	56	9968	21	10881
0.917838	57	9987	19	10881
0.919677	58	10007	20	10881
0.921331	59	10025	18	10881
0.923261	60	10046	21	10881
0.925099	61	10066	20	10881
0.926937	62	10086	20	10881
0.929234	63	10111	25	10881
0.930705	64	10127	16	10881
0.931716	65	10138	11	10881
0.933370	66	10156	18	10881
0.935484	67	10179	23	10881
0.937138	68	10197	18	10881
0.938149	69	10208	11	10881
0.939803	70	10226	18	10881
0.940998	71	10239	13	10881
0.941917	72	10249	10	10881
0.943479	73	10266	17	10881
0.944582	74	10278	12	10881
0.945042	75	10283	5	10881
0.946328	76	10297	14	10881
0.947431	77	10309	12	10881
0.948442	78	10320	11	10881
0.949177	79	10328	8	10881
0.950096	80	10338	10	10881
0.951016	81	10348	10	10881
0.951935	82	10358	10	10881
0.953405	83	10374	16	10881
0.953956	84	10380	6	10881
0.955519	85	10397	17	10881
0.956530	86	10408	11	10881
0.957449	87	10418	10	10881
0.958460	88	10429	11	10881
0.959195	89	10437	8	10881
0.960482	90	10451	14	10881
0.961584	91	10463	12	10881
0.962044	92	10468	5	10881
0.963055	93	10479	11	10881
0.963698	94	10486	7	10881
0.964250	95	10492	6	10881
0.964617	96	10496	4	10881
0.964985	97	10500	4	10881
